"3xl:text-lg","flex href","h-auto src","2xl:text-med","text-textGrey4","font-bold","text-xxs","font-bold 2","text-xxs 2","font-bold 3","text-xxs 3","text-limited","font-semibold","text-rare","font-semibold 2","text-super-rare","font-semibold 3"
"1090th","https://www.soraredata.com/player/34197966170505665501221229032711712522197271865343225970392159652127610393414","https://assets.sorare.com/player/b6f4a1b1-ec05-456d-a043-311eb6f0f5e1/picture/avatar-801a62b47652ff07b217f8d6749f88a0.png","Jamal Musiala","Forward  - 20","41.8","100%  PLAYED","50.1","100%  PLAYED","55.7","98%  PLAYED","Ξ 0,0625","3-day average","Ξ 0,654","7-day average","Ξ 7,370","Last public sale"
"1091st","https://www.soraredata.com/player/12988867564644682463436823832466045957806231152140069607300664088772569156029","https://assets.sorare.com/player/20d55902-43cd-4085-aca5-26908bd90a2e/picture/avatar-cdcbbd34f009ca41bf11b4c73841a6fa.png","Antonio Candreva","Midfielder  - 36","54.4","80%  PLAYED","50.1","93%  PLAYED","47.6","93%  PLAYED","Ξ 0,0017","3-day average","Ξ 0,0233","Last public sale","Ξ 0,590","Last public sale"
"1092nd","https://www.soraredata.com/player/40091596878780515422715555421299177178576245424646766207790588805619081757542","https://assets.sorare.com/player/843dd7af-991a-498e-a1db-354d30772b00/picture/avatar-eece1e092e905bf251f0517f224176fd.png","Adrien Monfray","Defender  - 32","37.6","100%  PLAYED","50.0","100%  PLAYED","55.1","83%  PLAYED","Ξ 0,0011","3-day average","Ξ 0,0348","3-day average","Ξ 0,281","1-month average"
"1093rd","https://www.soraredata.com/player/1432567190233964193075293541928207451314414579664394943499633353257159776878","https://assets.sorare.com/player/322fc7d6-7090-44cc-8f10-d11b080d394e/picture/avatar-6f8591bde9702e31425edcd33e5abd4b.png","Maximilian Rohr","Defender  - 27","55.5","100%  PLAYED","50.0","80%  PLAYED","45.1","73%  PLAYED","Ξ 0,0016","7-day average","Ξ 0,0140","7-day average","No sale",""
"1094th","https://www.soraredata.com/player/51107839522893774703111427062923444761054332354051877675958548000425850455927","https://assets.sorare.com/player/0a077425-4e8c-4a03-b2e7-fd59c5a8ae49/picture/avatar-9a7f7d9b915527a93cf7bdf4179c47e4.png","Andreas Hanche-Olsen","Defender  - 26","53.8","100%  PLAYED","50.0","87%  PLAYED","45.9","53%  PLAYED","Ξ 0,0016","3-day average","Ξ 0,0184","2-week average","Ξ 0,127","2-week average"
"1095th","https://www.soraredata.com/player/69799531472815948708913917899905463820703187939227514613957223841434625941753","https://assets.sorare.com/player/5beecbb1-b8a3-400b-a86d-0e76509eff31/picture/avatar-4407ced9c085896ccec662202c5616f8.png","Mathías Olivera","Defender  - 25","55.7","100%  PLAYED","50.0","87%  PLAYED","49.6","80%  PLAYED","Ξ 0,0057","3-day average","Ξ 0,0463","7-day average","Ξ 0,374","Last public sale"
"1096th","https://www.soraredata.com/player/97290511325064140776203561638792073589937546316997760237092998810649088883450","https://assets.sorare.com/player/660641df-ae85-4d14-9bbd-6d1171184595/picture/avatar-4ed0764316b0572cd8a7fd6490566a47.png","Berat Djimsiti","Defender  - 30","48.6","100%  PLAYED","50.0","87%  PLAYED","45.9","65%  PLAYED","Ξ 0,0012","3-day average","Ξ 0,0099","3-day average","No sale",""
"1097th","https://www.soraredata.com/player/76881730626446985406928163899722684068343067488474440265817405306838628052236","https://assets.sorare.com/player/485c533f-9bfd-49e7-9318-69064d73d18e/picture/avatar-a984dba5e365c0eff4d835c01323288a.png","Montassar Talbi","Defender  - 24","48.8","100%  PLAYED","50.0","100%  PLAYED","48.4","100%  PLAYED","Ξ 0,0027","3-day average","Ξ 0,0210","3-day average","Ξ 0,160","1-month average"
"1098th","https://www.soraredata.com/player/29883496464715143485739998764356268385112439158559276862109930528777334998473","https://assets.sorare.com/player/7c072a4c-2534-402c-9e4b-3eac5fed7f2d/picture/avatar-e6d990bbc7f08d420a8baf57a763dc05.png","Isaac Success","Forward  - 27","50.8","60%  PLAYED","50.0","87%  PLAYED","44.8","88%  PLAYED","Ξ 0,0020","3-day average","Ξ 0,0370","2-week average","Ξ 0,0797","Last public sale"
"1099th","https://www.soraredata.com/player/79650159779195539331243404263094706214451300221348985641614724707565991264534","https://assets.sorare.com/player/55c75455-cce5-47a6-9aba-95b2ee4be9b4/picture/avatar-e0e9ff118ea06cb1afd2c867314f7e02.png","Andrés Fernández","Goalkeeper  - 36","51.4","100%  PLAYED","50.0","100%  PLAYED","51.9","100%  PLAYED","Ξ 0,0045","3-day average","Ξ 0,104","3-day average","Ξ 0,358","Last public sale"
"1100th","https://www.soraredata.com/player/107231867785404433999552563750725177254502652838956840797399346784235191881032","https://assets.sorare.com/player/d2dc5d6f-9571-46a9-9c68-057fa2f61c91/picture/avatar-f916b5a789252857129a50a0b9dc804f.png","Tin Plavotić","Defender  - 25","51.9","100%  PLAYED","50.0","100%  PLAYED","50.9","93%  PLAYED","Ξ 0,0008","3-day average","Ξ 0,0175","2-week average","Ξ 0,0692","Last public sale"
"1101st","https://www.soraredata.com/player/89277487674614731969520257015109963988347500754393344663258877774971900398605","https://assets.sorare.com/player/5a1bddfe-4bf5-4114-880c-b15a77f46939/picture/avatar-e8326bcfbbceeeee6b97f4fde1f63f44.png","Hernani Jr","Midfielder  - 29","61.7","80%  PLAYED","50.0","80%  PLAYED","48.7","73%  PLAYED","Ξ 0,0011","1-month average","Ξ 0,169","Last public sale","No sale",""
"1102nd","https://www.soraredata.com/player/106026973902235077439065399967220235722535560286890715615712192573810595966057","https://assets.sorare.com/player/77aa0341-70ef-4c4a-bcc9-f0aea944b863/picture/avatar-caac9c82662c340066457c0791704fd1.png","Mateo Coronel","Forward  - 24","43.2","100%  PLAYED","50.0","100%  PLAYED","44.0","85%  PLAYED","Ξ 0,0055","3-day average","Ξ 0,0949","Last public sale","Ξ 0,350","Last public sale"
"1103rd","https://www.soraredata.com/player/85762726470144572552325348816568562440281379567150240856394937015142725756445","https://assets.sorare.com/player/978349bb-588a-419d-a6c7-779cb52c7b12/picture/avatar-766efb94bf1bf521e8e6cd5010134a7d.png","Hiroyuki Mae","Midfielder  - 27","48.8","100%  PLAYED","50.0","100%  PLAYED","47.5","100%  PLAYED","Ξ 0,0017","3-day average","Ξ 0,0202","2-week average","Ξ 0,165","3-day average"
"1104th","https://www.soraredata.com/player/102857839603209649907373452818041125302212553209837405106895321321144382227289","https://assets.sorare.com/player/0eb9a35a-878e-41e3-8b71-50647591a834/picture/avatar-5308b6409c4267a7b9790d58488d6d54.png","Facundo Colidio","Forward  - 23","51.6","100%  PLAYED","50.0","93%  PLAYED","51.8","85%  PLAYED","No sale","1-month average","Ξ 0,109","Last public sale","Ξ 0,960",""
"1105th","https://www.soraredata.com/player/71340085338615590385559206222812308919281772426047977601946770235179171092704","https://assets.sorare.com/player/2c567667-1232-4b57-83c6-5259b7fc7a8f/picture/avatar-89622e751636d185922bbe7c5fb02861.png","Aldo Rocha","Midfielder  - 30","48.0","100%  PLAYED","50.0","100%  PLAYED","48.1","70%  PLAYED","Ξ 0,0010","3-day average","Ξ 0,0180","2-week average","Ξ 0,142","1-month average"
"1106th","https://www.soraredata.com/player/60765039487304588515032511319956190957085931411610937544134868864442103959381","https://assets.sorare.com/player/cc6d45e2-ba7c-4ec4-bc55-b36fcda0b331/picture/avatar-b44dafc0e31c8efe3a4ae8f911f1b581.png","Bram Nuytinck","Defender  - 33","43.1","60%  PLAYED","50.0","80%  PLAYED","47.0","63%  PLAYED","Ξ 0,0004","3-day average","Ξ 0,0062","3-day average","Ξ 0,120","Last public sale"
"1107th","https://www.soraredata.com/player/22093015347488117359121254984742643461916637575020166407903482898878801218894","https://assets.sorare.com/player/41ccd3be-c385-495f-aa83-b95620138ad4/picture/avatar-36a4723f7774f0fe911e76f0c975e0f2.png","Ethan Horvath","Goalkeeper  - 27","43.2","100%  PLAYED","50.0","100%  PLAYED","49.5","88%  PLAYED","No sale","Last public sale","Ξ 0,251","Last public sale","Ξ 1,025",""
"1108th","https://www.soraredata.com/player/43022756936936623293577274241140169329987334385541542006037078601199266763479","https://assets.sorare.com/player/92144a6f-a271-4e6b-8ec9-8b1346df9f5d/picture/avatar-62c59c53e044107a30fbc55244f4762b.png","Donatien Gomis","Defender  - 28","46.7","100%  PLAYED","50.0","80%  PLAYED","NA","0%  PLAYED","Ξ 0,0006","3-day average","Ξ 0,0097","2-week average","Ξ 0,0600","Last public sale"
"1109th","https://www.soraredata.com/player/114852751661896933671647891321973415205212905433040077511726790155400152387076","https://assets.sorare.com/player/833d6ef4-bc10-4cf9-a023-b26f56e59152/picture/avatar-170092ea6dc7e0de1b6ea74ea9a59dfe.png","Bernardo Silva","Midfielder  - 28","40.6","100%  PLAYED","50.0","93%  PLAYED","47.7","95%  PLAYED","Ξ 0,0135","3-day average","Ξ 0,0927","3-day average","Ξ 0,915","Last public sale"
"1110th","https://www.soraredata.com/player/50260030452869967307064750656573919447254359290915893037123881093229350986840","https://assets.sorare.com/player/0d688a97-de31-4787-974b-35b2256dfebd/picture/avatar-fa611d6957bbf45c7c25da6fc6be9de2.png","Jonathan Ikoné","Midfielder  - 25","49.3","40%  PLAYED","50.0","80%  PLAYED","45.1","85%  PLAYED","Ξ 0,0028","3-day average","Ξ 0,0300","1-month average","Ξ 0,300","Last public sale"
"1111th","https://www.soraredata.com/player/90891163800403651630203064005278393134945729807071009210902319048055197012901","https://assets.sorare.com/player/cc769768-a37c-4494-a0b2-c4888117025f/picture/avatar-835c48d18398dbe00c54eea03b679edc.png","Barbu","Defender  - 21","48.6","100%  PLAYED","49.9","93%  PLAYED","NA","0%  PLAYED","Ξ 0,0008","3-day average","Ξ 0,0158","1-month average","Ξ 0,120","Last public sale"
"1112th","https://www.soraredata.com/player/17058134791780858658407529414089955313484336646270292295805327349260698383692","https://assets.sorare.com/player/623e99f1-20e7-4f92-ac03-0f7b7330052f/picture/avatar-8ed8f0513ae0a7a46013f887afa0a813.png","Guilherme Ramos","Defender  - 25","44.2","80%  PLAYED","49.9","93%  PLAYED","46.5","73%  PLAYED","Ξ 0,0006","7-day average","Ξ 0,0155","3-day average","Ξ 0,0882","Last public sale"
"1113th","https://www.soraredata.com/player/3533558348363683409820780744555349956666233124318349843899019101322027620856","https://assets.sorare.com/player/27faaa62-2e48-4aee-ba9c-6e65723cf087/picture/avatar-830f729753fed2c12fa507d4c04ecf04.png","Michiel Kramer","Forward  - 34","65.2","80%  PLAYED","49.9","87%  PLAYED","51.3","80%  PLAYED","Ξ 0,0022","3-day average","Ξ 0,0267","3-day average","Ξ 0,0252","Last public sale"
"1114th","https://www.soraredata.com/player/53848063687965574766550625480780038319058398766177373527414394720539332963863","https://assets.sorare.com/player/ff9e6794-d9fa-4f63-9d43-1352c8ec1c1f/picture/avatar-9aa2fbcbab939b93cdfdea0fbb78e37f.png","Manolo Gabbiadini","Forward  - 31","47.2","100%  PLAYED","49.9","93%  PLAYED","43.8","80%  PLAYED","Ξ 0,0029","3-day average","Ξ 0,0320","3-day average","Ξ 0,150","Last public sale"
"1115th","https://www.soraredata.com/player/54720579783195047633650633806636145984911858589235284456635674826146147897118","https://assets.sorare.com/player/27ab9011-f387-4b00-a5fb-a4b2d0974a66/picture/avatar-495c13ceca799efedd73f75f5925566c.png","Willian Arão","Midfielder  - 31","36.2","100%  PLAYED","49.9","93%  PLAYED","53.2","83%  PLAYED","Ξ 0,0008","3-day average","Ξ 0,0221","7-day average","Ξ 0,400","Last public sale"
"1116th","https://www.soraredata.com/player/35151516650452813035628541176281967055090674690732834916655685129531326353489","https://assets.sorare.com/player/101e883c-9f66-4ba8-a1d0-d6a87e928129/picture/avatar-ab04ed0cfe599f34c6b739a58995561a.png","Magnus Christensen","Midfielder  - 25","51.4","100%  PLAYED","49.9","100%  PLAYED","45.8","68%  PLAYED","Ξ 0,0035","3-day average","Ξ 0,0279","7-day average","Ξ 0,1000","Last public sale"
"1117th","https://www.soraredata.com/player/24923719898531316438678665257827406615370948948154471451253428022931760038901","https://assets.sorare.com/player/65c83804-ee39-4a10-a800-a7d0a6fa3b53/picture/avatar-894ae461bd5bb89e4512c62010e56592.png","Jannik Huth","Goalkeeper  - 29","44.0","100%  PLAYED","49.9","93%  PLAYED","52.9","93%  PLAYED","Ξ 0,0067","3-day average","Ξ 0,180","2-week average","Ξ 0,591","2-week average"
"1118th","https://www.soraredata.com/player/88648220451265411399439790376995020314555950975756819021006815698346793805070","https://assets.sorare.com/player/5e57f4f8-c290-4e6b-90be-76cd0d41bfee/picture/avatar-7ec9fe3eb76a70fcf23ebc20a890d79b.png","Marlon","Defender  - 29","49.2","100%  PLAYED","49.9","87%  PLAYED","53.1","83%  PLAYED","Ξ 0,0019","3-day average","Ξ 0,0251","2-week average","Ξ 0,215","2-week average"
"1119th","https://www.soraredata.com/player/81954445897417884601582178727169245813496697214960322275986419962954551658","https://assets.sorare.com/player/f142f2bb-a50b-4983-9a80-8fbccbe4b1f8/picture/avatar-fdd68cccf5f4a7a705c9cd2231fa56dd.png","Tonio Teklić","Midfielder  - 23","42.3","80%  PLAYED","49.9","93%  PLAYED","48.5","88%  PLAYED","Ξ 0,0015","3-day average","Ξ 0,0218","3-day average","Ξ 0,220","Last public sale"
"1120th","https://www.soraredata.com/player/85736358582963532848623030752680505683986373995754086532021294346386275240337","https://assets.sorare.com/player/f3ed2970-a25c-4e17-864f-003878ed5f7d/picture/avatar-abc239eb7d56c6b6afe11f00ed839251.png","Roman Evgenyev","Defender  - 24","52.2","100%  PLAYED","49.9","100%  PLAYED","45.4","90%  PLAYED","Ξ 0,0052","1-month average","Ξ 0,0250","Last public sale","Ξ 0,120","Last public sale"
"1121st","https://www.soraredata.com/player/32711767764357733327074082373268396105105674032898870669821243814875940186162","https://assets.sorare.com/player/1b9c3003-50e4-4c5b-a446-7156ca611494/picture/avatar-886e6db4ec1768c86ca449a3d2e2bfc1.png","Rafael Czichos","Defender  - 32","48.3","100%  PLAYED","49.9","93%  PLAYED","52.3","80%  PLAYED","Ξ 0,0017","3-day average","Ξ 0,0290","2-week average","Ξ 0,288","1-month average"
"1122nd","https://www.soraredata.com/player/70141483099094103624243887023061816129609232733711142626167326721186107588366","https://assets.sorare.com/player/93310f60-81de-4861-a217-f064488fe2b2/picture/avatar-78f2266601c4d75cd99608d1d6dae6a3.png","Marvelous Nakamba","Midfielder  - 29","55.9","100%  PLAYED","49.9","100%  PLAYED","47.7","45%  PLAYED","Ξ 0,0052","1-month average","Ξ 0,0329","Last public sale","Ξ 0,1000","Last public sale"
"1123rd","https://www.soraredata.com/player/2405264762809752446940773814248116700677157599555273467414358491608919878894","https://assets.sorare.com/player/6512ccc4-9480-4bfa-b004-e11a5c4e9d1f/picture/avatar-e4b55920f04bd387f151f8b388cf7d69.png","Bryan Heynen","Midfielder  - 26","42.9","80%  PLAYED","49.9","93%  PLAYED","53.9","98%  PLAYED","Ξ 0,0028","3-day average","Ξ 0,0477","7-day average","Ξ 0,741","Last public sale"
"1124th","https://www.soraredata.com/player/46984500631532110010621487928573462769572143522261236144477412552892377145751","https://assets.sorare.com/player/8098b54a-7ddc-4440-80f2-299a3b4ba4a6/picture/avatar-df03cb43d5ca22feab84289ab4a269aa.png","Kevin Stöger","Midfielder  - 29","54.2","100%  PLAYED","49.9","100%  PLAYED","46.5","90%  PLAYED","Ξ 0,0015","3-day average","Ξ 0,0161","7-day average","Ξ 0,0814","Last public sale"
"1125th","https://www.soraredata.com/player/46879853186786116656637727947380300526311250698879254672760458742263073585406","https://assets.sorare.com/player/3ae49607-635b-4dd7-8aac-782298277925/picture/avatar-190859b4e1b31099830564e02738ac53.png","Dimitris Giannoulis","Defender  - 27","42.2","80%  PLAYED","49.9","93%  PLAYED","45.5","60%  PLAYED","Ξ 0,0005","3-day average","Ξ 0,0199","1-month average","Ξ 0,0704","Last public sale"
"1126th","https://www.soraredata.com/player/alexander-dominguez-carabali","","Alexander Domínguez","Goalkeeper  - 35","47.8","100%  PLAYED","49.8","80%  PLAYED","47.2","60%  PLAYED","No sale","","No sale","","No sale",""
"1127th","https://www.soraredata.com/player/7849626316649809657256153671108541631741288554816830206287288435855705719866","https://assets.sorare.com/player/4298cfc0-1230-4af4-8b0b-8b9deb0fd746/picture/avatar-5187c4fc4606b8ed2d7d0e779adc1716.png","Jean-Luc Dompé","Forward  - 27","35.6","80%  PLAYED","49.8","93%  PLAYED","50.7","93%  PLAYED","Ξ 0,0020","3-day average","Ξ 0,0232","3-day average","Ξ 0,376","Last public sale"
"1128th","https://www.soraredata.com/player/114433101378616458785477783939938099521605200502640907044514566746961049714762","https://assets.sorare.com/player/7f0f0091-3628-4378-9296-e71f0c50a288/picture/avatar-a8c263bf53c0347c5a6679fdec0942bb.png","José Arnáiz","Forward  - 28","46.8","60%  PLAYED","49.8","80%  PLAYED","46.4","90%  PLAYED","Ξ 0,0005","3-day average","Ξ 0,0154","7-day average","Ξ 0,102","2-week average"
"1129th","https://www.soraredata.com/player/15119561281481789148498741985095983205994484839176741960796987190748352599372","https://assets.sorare.com/player/63651c89-8a87-467d-b022-dc0fc5604202/picture/avatar-a6461134a43ca632cfed77bc08f0d64f.png","Dominic Solanke","Forward  - 25","59.4","100%  PLAYED","49.8","87%  PLAYED","49.6","88%  PLAYED","Ξ 0,0045","3-day average","Ξ 0,0402","7-day average","Ξ 0,221","Last public sale"
"1130th","https://www.soraredata.com/player/33760611580955983053519103548596629270881235769708285126747659487935039477798","https://assets.sorare.com/player/c453fc54-0f38-4b2f-94e8-85284bfd58f3/picture/avatar-0b3561cff9bfeebcf41918a6b0dcb994.png","José Callejón","Forward  - 36","39.8","100%  PLAYED","49.8","100%  PLAYED","52.2","98%  PLAYED","Ξ 0,0007","7-day average","Ξ 0,0141","2-week average","Ξ 0,400","Last public sale"
"1131st","https://www.soraredata.com/player/50542450954981259464613211254995601126994576693736091377736744648553487447621","https://assets.sorare.com/player/d9e7e9d1-537d-48f0-a514-e4a58179457c/picture/avatar-4f88478285a0823ddf057f981f78e179.png","Domenik Schierl","Goalkeeper  - 28","46.4","100%  PLAYED","49.8","100%  PLAYED","NA","0%  PLAYED","Ξ 0,0078","3-day average","Ξ 0,130","3-day average","Ξ 0,357","Last public sale"
"1132nd","https://www.soraredata.com/player/99882747219571496824962633303018633311197221602953331679050991368199919761478","https://assets.sorare.com/player/b75ca1d8-1be9-4c03-aca0-580c0821d89c/picture/avatar-6b336a9090c8bd4a75094a850debe5d2.png","Gaëtan Poussin","Goalkeeper  - 24","54.3","60%  PLAYED","49.8","87%  PLAYED","51.8","88%  PLAYED","Ξ 0,0146","3-day average","Ξ 0,200","3-day average","Ξ 0,478","Last public sale"
"1133rd","https://www.soraredata.com/player/66579854942033615363144665929621123626617297530296983081960894979627262714475","https://assets.sorare.com/player/af06d899-4732-40b7-b046-0e42c2707b0c/picture/avatar-37f1b6bd3de2c00b4e19ca3d81659675.png","José Cifuentes","Midfielder  - 24","60.1","100%  PLAYED","49.8","87%  PLAYED","50.1","90%  PLAYED","Ξ 0,0092","3-day average","Ξ 0,0813","3-day average","Ξ 0,416","2-week average"
"1134th","https://www.soraredata.com/player/48011523752836840527615861066016194690508456059625615732978342353149192098348","https://assets.sorare.com/player/7340b25d-e29d-4718-957e-a0df679be2be/picture/avatar-8da9800e14ab5cfe0062ff87fd0610f3.png","Keigo Higashi","Midfielder  - 32","39.9","100%  PLAYED","49.8","93%  PLAYED","46.1","80%  PLAYED","Ξ 0,0006","3-day average","Ξ 0,0097","7-day average","Ξ 0,108","1-month average"
"1135th","https://www.soraredata.com/player/76877205487823110233264755855749372197983993246988336001084403839828554619717","https://assets.sorare.com/player/0525db2a-5369-4391-a093-fea7d6632d8a/picture/avatar-61ff31e888bc4f65f8fd90ef22cac71e.png","Morten Hjulmand","Midfielder  - 23","49.9","100%  PLAYED","49.8","87%  PLAYED","54.5","80%  PLAYED","Ξ 0,0082","7-day average","No sale","","No sale",""
"1136th","https://www.soraredata.com/player/68094554376231350696600447929178576409010601271971122880124563517977802193232","https://assets.sorare.com/player/4811d199-df94-4266-b765-df09863027bb/picture/avatar-fc3f947b158efac3e3f4e840f82d1948.png","Jamiro Monteiro","Midfielder  - 29","45.9","100%  PLAYED","49.8","80%  PLAYED","55.8","90%  PLAYED","Ξ 0,0034","3-day average","Ξ 0,0454","7-day average","Ξ 0,385","Last public sale"
"1137th","https://www.soraredata.com/player/50393616156531319032406193706673636034826493003187046755141966763747248748748","https://assets.sorare.com/player/05a1edc2-ed6d-4250-9713-614557f59bbe/picture/avatar-e99e96e42f36095da3b7449d5b2635c0.png","Quentin Bernard","Defender  - 33","41.9","100%  PLAYED","49.8","87%  PLAYED","52.9","57%  PLAYED","Ξ 0,0006","Last public sale","Ξ 0,0166","Last public sale","No sale",""
"1138th","https://www.soraredata.com/player/85858712161224646479963485894544873310162331780262498713531082449722743502368","https://assets.sorare.com/player/085c1067-f7f3-4609-a895-8f0780b8a8e3/picture/avatar-ab77012461e828741f6c248e9773defd.png","Franck Bambock","Midfielder  - 28","40.8","80%  PLAYED","49.8","80%  PLAYED","46.1","90%  PLAYED","Ξ 0,0004","3-day average","Ξ 0,0096","1-month average","Ξ 0,0800","Last public sale"
"1139th","https://www.soraredata.com/player/80173156152645098611180312316193821646076203684150167642220456489226184817411","https://assets.sorare.com/player/92b0a561-4a7c-4569-bb66-87054e6a99fc/picture/203a8f04a89b990f1f8f3777d6f98085.png","Yordy Reyna","Forward  - 29","55.8","100%  PLAYED","49.8","80%  PLAYED","48.1","63%  PLAYED","Ξ 0,0025","3-day average","Ξ 0,0250","3-day average","Ξ 0,140","1-month average"
"1140th","https://www.soraredata.com/player/97571402318696339087753632773385592199707517953635327961778913280250452402917","https://assets.sorare.com/player/c981f99e-c8ea-41fc-adfa-e0c77eebc8b1/picture/avatar-32037895810702e2a78ac0710a5e89fe.png","Nicolás Figal","Defender  - 29","48.5","80%  PLAYED","49.8","93%  PLAYED","51.7","63%  PLAYED","Ξ 0,0023","3-day average","Ξ 0,0309","2-week average","Ξ 0,254","1-month average"
"1141st","https://www.soraredata.com/player/107125995897280877057651339898164009881971153151490161299064803487019665823417","https://assets.sorare.com/player/7305f04b-6491-4832-9f22-bdfb80434201/picture/avatar-5af165b08c20db5fb6e164d0e334b0c1.png","Ömer Şahiner","Midfielder  - 31","44.1","80%  PLAYED","49.8","87%  PLAYED","44.0","80%  PLAYED","Ξ 0,0003","3-day average","Ξ 0,0053","3-day average","Ξ 0,0725","Last public sale"
"1142nd","https://www.soraredata.com/player/72939908987139295557153525973809942328252481668138894112564106525084031274033","https://assets.sorare.com/player/3a4e577a-fe50-4187-a913-e34385dd71da/picture/avatar-9b364acf9a0af75d3206b232fd23c7c9.png","Andreas Ulmer","Defender  - 37","49.1","60%  PLAYED","49.8","80%  PLAYED","44.6","70%  PLAYED","Ξ 0,0003","2-week average","Ξ 0,0025","3-day average","Ξ 0,0584","Last public sale"
"1143rd","https://www.soraredata.com/player/50553330742163382137481618446866637763795692375373084883512716314851706257049","https://assets.sorare.com/player/91ac0d2a-b623-4c99-8282-db7140452b73/picture/avatar-7c75a3b61e8840057556baefb4102367.png","Peru Nolaskoain","Defender  - 24","36.8","100%  PLAYED","49.8","100%  PLAYED","50.5","75%  PLAYED","Ξ 0,0009","3-day average","Ξ 0,0853","Last public sale","Ξ 0,0660","Last public sale"
"1144th","https://www.soraredata.com/player/61863435670803060082400721661465510130203859446763662791055204824929738430879","https://assets.sorare.com/player/de3c2284-bb13-4c9c-9e5e-0fc7f322c82a/picture/avatar-d9091e5528bb22d953b9a3d6573732c6.png","Prince Ampem","Forward  - 25","50.3","100%  PLAYED","49.7","100%  PLAYED","50.3","95%  PLAYED","Ξ 0,0019","3-day average","Ξ 0,0247","2-week average","Ξ 0,181","Last public sale"
"1145th","https://www.soraredata.com/player/11154260377865557993714589880772834255502772149177643078576900373069937819587","https://assets.sorare.com/player/3241e029-c899-48f0-99ea-f1757d5bae3d/picture/avatar-52d2d420f279de8512d4dc9fde04f2e5.png","Brian Gutiérrez","Midfielder  - 19","49.8","100%  PLAYED","49.7","93%  PLAYED","43.3","95%  PLAYED","Ξ 0,0051","3-day average","Ξ 0,0561","3-day average","Ξ 0,290","Last public sale"
"1146th","https://www.soraredata.com/player/80946813694455493677796452312722665519279889787803396198375767103632892201015","https://assets.sorare.com/player/dfc38978-f634-4c67-bdf1-67b1788b45e8/picture/avatar-9135588fe68d6c91df423d3cb1e3e1d0.png","Léo Duarte","Defender  - 26","40.6","100%  PLAYED","49.7","100%  PLAYED","53.0","85%  PLAYED","Ξ 0,0012","3-day average","Ξ 0,0301","2-week average","Ξ 0,240","Last public sale"
"1147th","https://www.soraredata.com/player/18362982571589746770783920852025263603685943600980200502445580741240327856703","https://assets.sorare.com/player/e330b323-4656-4016-b19c-09ea18828ae1/picture/avatar-745b199282f25c91671066239f443b91.png","Joseph Lopy","Midfielder  - 31","57.0","100%  PLAYED","49.7","93%  PLAYED","47.7","50%  PLAYED","Ξ 0,0011","1-month average","Ξ 0,0127","Last public sale","No sale",""
"1148th","https://www.soraredata.com/player/41938795720315197595444868186948011899956363309849211429049507731949704645668","https://assets.sorare.com/player/902fe25c-c1d7-40e9-9115-eb35801987b7/picture/avatar-8a9af6ba92d6e94124ad71e85f371292.png","Danny Welbeck","Forward  - 32","52.7","100%  PLAYED","49.7","80%  PLAYED","48.5","85%  PLAYED","Ξ 0,0040","3-day average","Ξ 0,0178","7-day average","Ξ 0,236","3-day average"
"1149th","https://www.soraredata.com/player/30911041946245356869539398115782107223774074777546707946394181936808340934943","https://assets.sorare.com/player/81464395-765c-4b41-977d-84a2b8d7a9b9/picture/avatar-15e43328a2f478c2e668194d3ca2bcd7.png","Seiya Maikuma","Defender  - 25","63.1","80%  PLAYED","49.7","93%  PLAYED","46.3","93%  PLAYED","Ξ 0,0019","3-day average","Ξ 0,0384","3-day average","Ξ 0,162","Last public sale"
"1150th","https://www.soraredata.com/player/4119038276967654535768490084628744386812436873323974078693711115869200367447","https://assets.sorare.com/player/5734fa7d-a322-49cb-8f88-c0ac02b67b1b/picture/avatar-bd9779238d7e986051907a7fde9f78a4.png","Cenk Tosun","Forward  - 31","54.9","80%  PLAYED","49.7","93%  PLAYED","45.4","75%  PLAYED","Ξ 0,0037","3-day average","Ξ 0,0710","7-day average","Ξ 0,215","1-month average"
"1151st","https://www.soraredata.com/player/54360221389230927787175440304274859558520031534159902859246503844399491623443","https://assets.sorare.com/player/4316e376-da26-469a-9f03-e1144e8018b1/picture/avatar-ea6c2343fdb0cbdec57f1f6b1624c928.png","Marcos Senesi","Defender  - 25","40.3","60%  PLAYED","49.7","80%  PLAYED","46.2","85%  PLAYED","Ξ 0,0016","3-day average","Ξ 0,0138","2-week average","Ξ 0,120","Last public sale"
"1152nd","https://www.soraredata.com/player/43743304671370028526785972673595557333989638881003486709827474862112858124673","https://assets.sorare.com/player/1fa643b5-6c4c-4a2b-87f2-ea78d60fe7a9/picture/avatar-f8bebbe7e1d7841493f70a6d80425982.png","Merveille Bokadi","Midfielder  - 26","52.5","100%  PLAYED","49.7","100%  PLAYED","47.3","93%  PLAYED","Ξ 0,0008","3-day average","Ξ 0,0148","2-week average","Ξ 0,160","Last public sale"
"1153rd","https://www.soraredata.com/player/84115155016236294084164273786843141868636869511278587603326671321683048863066","https://assets.sorare.com/player/fe932cb3-0e63-401e-970d-29ca89d6f37f/picture/avatar-d8cfb4d91e60224c4640a2103022edf2.png","Jens Toornstra","Midfielder  - 34","49.5","100%  PLAYED","49.7","87%  PLAYED","47.6","83%  PLAYED","Ξ 0,0010","3-day average","Ξ 0,0175","2-week average","Ξ 0,200","Last public sale"
